sample_id,layer,bucket,predictor,accuracy,n_tokens
6,12,late,topk_transition,0.1953125,256
6,13,late,freq_baseline,0.1015625,256
6,13,late,top1_transition,0.3359375,256
6,13,late,topk_transition,0.10546875,256
6,14,late,freq_baseline,0.3671875,256
6,14,late,top1_transition,0.5078125,256
6,14,late,topk_transition,0.37109375,256
6,0,early,neighbor_same_layer,0.47843137254901963,255
6,0,early,freq_baseline_same_layer,0.4745098039215686,255
6,1,early,neighbor_same_layer,0.19607843137254902,255
6,1,early,freq_baseline_same_layer,0.2235294117647059,255
6,2,early,neighbor_same_layer,0.2,255
6,2,early,freq_baseline_same_layer,0.050980392156862744,255
6,3,early,neighbor_same_layer,0.17647058823529413,255
6,3,early,freq_baseline_same_layer,0.07058823529411765,255
6,4,early,neighbor_same_layer,0.15294117647058825,255
6,4,early,freq_baseline_same_layer,0.08235294117647059,255
6,5,early,neighbor_same_layer,0.20784313725490197,255
6,5,early,freq_baseline_same_layer,0.12549019607843137,255
6,6,early,neighbor_same_layer,0.22745098039215686,255
6,6,early,freq_baseline_same_layer,0.1607843137254902,255
6,7,early,neighbor_same_layer,0.16470588235294117,255
6,7,early,freq_baseline_same_layer,0.03137254901960784,255
6,8,late,neighbor_same_layer,0.19607843137254902,255
6,8,late,freq_baseline_same_layer,0.0784313725490196,255
6,9,late,neighbor_same_layer,0.23921568627450981,255
6,9,late,freq_baseline_same_layer,0.10196078431372549,255
6,10,late,neighbor_same_layer,0.1607843137254902,255
6,10,late,freq_baseline_same_layer,0.11764705882352941,255
6,11,late,neighbor_same_layer,0.27450980392156865,255
6,11,late,freq_baseline_same_layer,0.08235294117647059,255
6,12,late,neighbor_same_layer,0.3411764705882353,255
6,12,late,freq_baseline_same_layer,0.47843137254901963,255
6,13,late,neighbor_same_layer,0.19607843137254902,255
6,13,late,freq_baseline_same_layer,0.19215686274509805,255
6,14,late,neighbor_same_layer,0.2,255
6,14,late,freq_baseline_same_layer,0.10196078431372549,255
6,15,late,neighbor_same_layer,0.35294117647058826,255
6,15,late,freq_baseline_same_layer,0.3686274509803922,255
7,0,early,freq_baseline,0.1328125,256
7,0,early,top1_transition,0.44921875,256
7,0,early,topk_transition,0.2109375,256
7,1,early,freq_baseline,0.203125,256
7,1,early,top1_transition,0.140625,256
7,1,early,topk_transition,0.19921875,256
7,2,early,freq_baseline,0.06640625,256
7,2,early,top1_transition,0.1328125,256
7,2,early,topk_transition,0.0703125,256
7,3,early,freq_baseline,0.1328125,256
7,3,early,top1_transition,0.27734375,256
7,3,early,topk_transition,0.1484375,256
7,4,early,freq_baseline,0.171875,256
7,4,early,top1_transition,0.25390625,256
7,4,early,topk_transition,0.17578125,256
7,5,early,freq_baseline,0.08984375,256
7,5,early,top1_transition,0.3203125,256
7,5,early,topk_transition,0.1015625,256
7,6,early,freq_baseline,0.0234375,256
7,6,early,top1_transition,0.26953125,256
7,6,early,topk_transition,0.05859375,256
7,7,early,freq_baseline,0.234375,256
7,7,early,top1_transition,0.3203125,256
7,7,early,topk_transition,0.26171875,256
7,8,late,freq_baseline,0.078125,256
7,8,late,top1_transition,0.1875,256
7,8,late,topk_transition,0.0859375,256
7,9,late,freq_baseline,0.11328125,256
7,9,late,top1_transition,0.1953125,256
7,9,late,topk_transition,0.13671875,256
7,10,late,freq_baseline,0.10546875,256
7,10,late,top1_transition,0.25390625,256
7,10,late,topk_transition,0.1171875,256
7,11,late,freq_baseline,0.01953125,256
7,11,late,top1_transition,0.24609375,256
7,11,late,topk_transition,0.03125,256
7,12,late,freq_baseline,0.39453125,256
7,12,late,top1_transition,0.40625,256
7,12,late,topk_transition,0.3984375,256
7,13,late,freq_baseline,0.09375,256
7,13,late,top1_transition,0.19140625,256
7,13,late,topk_transition,0.09765625,256
7,14,late,freq_baseline,0.04296875,256
7,14,late,top1_transition,0.29296875,256
7,14,late,topk_transition,0.0625,256
7,0,early,neighbor_same_layer,0.5137254901960784,255
7,0,early,freq_baseline_same_layer,0.5333333333333333,255
7,1,early,neighbor_same_layer,0.38823529411764707,255
7,1,early,freq_baseline_same_layer,0.13333333333333333,255
7,2,early,neighbor_same_layer,0.1803921568627451,255
7,2,early,freq_baseline_same_layer,0.2,255
7,3,early,neighbor_same_layer,0.12941176470588237,255
7,3,early,freq_baseline_same_layer,0.06274509803921569,255
7,4,early,neighbor_same_layer,0.11764705882352941,255
7,4,early,freq_baseline_same_layer,0.13333333333333333,255
7,5,early,neighbor_same_layer,0.19215686274509805,255
7,5,early,freq_baseline_same_layer,0.17254901960784313,255
7,6,early,neighbor_same_layer,0.23137254901960785,255
7,6,early,freq_baseline_same_layer,0.09019607843137255,255
7,7,early,neighbor_same_layer,0.15294117647058825,255
7,7,early,freq_baseline_same_layer,0.023529411764705882,255
7,8,late,neighbor_same_layer,0.27450980392156865,255
7,8,late,freq_baseline_same_layer,0.23529411764705882,255
7,9,late,neighbor_same_layer,0.27450980392156865,255
7,9,late,freq_baseline_same_layer,0.0784313725490196,255
7,10,late,neighbor_same_layer,0.21176470588235294,255
7,10,late,freq_baseline_same_layer,0.11372549019607843,255
7,11,late,neighbor_same_layer,0.2,255
7,11,late,freq_baseline_same_layer,0.10588235294117647,255
7,12,late,neighbor_same_layer,0.3176470588235294,255
7,12,late,freq_baseline_same_layer,0.0196078431372549,255
7,13,late,neighbor_same_layer,0.3686274509803922,255
7,13,late,freq_baseline_same_layer,0.396078431372549,255
7,14,late,neighbor_same_layer,0.1803921568627451,255
7,14,late,freq_baseline_same_layer,0.09411764705882353,255
7,15,late,neighbor_same_layer,0.36470588235294116,255
7,15,late,freq_baseline_same_layer,0.043137254901960784,255
8,0,early,freq_baseline,0.2421875,256
8,0,early,top1_transition,0.27734375,256
8,0,early,topk_transition,0.26171875,256
8,1,early,freq_baseline,0.0859375,256
8,1,early,top1_transition,0.17578125,256
8,1,early,topk_transition,0.0859375,256
8,2,early,freq_baseline,0.0546875,256
8,2,early,top1_transition,0.12109375,256
8,2,early,topk_transition,0.0703125,256
8,3,early,freq_baseline,0.14453125,256
8,3,early,top1_transition,0.26171875,256
8,3,early,topk_transition,0.16015625,256
8,4,early,freq_baseline,0.078125,256
8,4,early,top1_transition,0.234375,256
8,4,early,topk_transition,0.09765625,256
8,5,early,freq_baseline,0.078125,256
8,5,early,top1_transition,0.3359375,256
8,5,early,topk_transition,0.1015625,256
8,6,early,freq_baseline,0.05078125,256
8,6,early,top1_transition,0.21484375,256
8,6,early,topk_transition,0.0859375,256
8,7,early,freq_baseline,0.171875,256
8,7,early,top1_transition,0.23046875,256
8,7,early,topk_transition,0.19921875,256
8,8,late,freq_baseline,0.0625,256
8,8,late,top1_transition,0.26171875,256
8,8,late,topk_transition,0.07421875,256
8,9,late,freq_baseline,0.12109375,256
8,9,late,top1_transition,0.2578125,256
8,9,late,topk_transition,0.13671875,256
8,10,late,freq_baseline,0.140625,256
8,10,late,top1_transition,0.21484375,256
8,10,late,topk_transition,0.15234375,256
8,11,late,freq_baseline,0.30859375,256
8,11,late,top1_transition,0.24609375,256
8,11,late,topk_transition,0.30859375,256
8,12,late,freq_baseline,0.3671875,256
8,12,late,top1_transition,0.34765625,256
8,12,late,topk_transition,0.375,256
8,13,late,freq_baseline,0.05859375,256
8,13,late,top1_transition,0.22265625,256
8,13,late,topk_transition,0.0625,256
8,14,late,freq_baseline,0.07421875,256
8,14,late,top1_transition,0.2734375,256
8,14,late,topk_transition,0.0859375,256
8,0,early,neighbor_same_layer,0.23137254901960785,255
8,0,early,freq_baseline_same_layer,0.23921568627450981,255
8,1,early,neighbor_same_layer,0.22745098039215686,255
8,1,early,freq_baseline_same_layer,0.24313725490196078,255
8,2,early,neighbor_same_layer,0.19607843137254902,255
8,2,early,freq_baseline_same_layer,0.08235294117647059,255
8,3,early,neighbor_same_layer,0.1843137254901961,255
8,3,early,freq_baseline_same_layer,0.050980392156862744,255
8,4,early,neighbor_same_layer,0.18823529411764706,255
8,4,early,freq_baseline_same_layer,0.1450980392156863,255
8,5,early,neighbor_same_layer,0.15294117647058825,255
8,5,early,freq_baseline_same_layer,0.0784313725490196,255
8,6,early,neighbor_same_layer,0.25882352941176473,255
8,6,early,freq_baseline_same_layer,0.0784313725490196,255
