model_key,split,text_sha256,policy,period,document_mean_kl,document_cvar90_kl,document_p95_kl,total_candidate_forward_calls,audit_events,dangerous_steps,dangerous_step_recall,threshold_violation_fraction,diagnostic_high_forward_calls,diagnostic_low_forward_calls,physical_high_forward_calls,physical_low_forward_calls
olmoe,sealed,a89b9f87fdf468997988c508f365d2846cec1d9c4380319479946740ebc8888a,fixed_4,4,0.04957298944600552,0.17477385886013508,0.14137184172868728,40,8,2,0.0,0.0625,24,0,32,32
olmoe,sealed,a89b9f87fdf468997988c508f365d2846cec1d9c4380319479946740ebc8888a,fixed_8,8,0.04957298944600552,0.17477385886013508,0.14137184172868728,36,4,2,0.0,0.0625,28,0,32,32
olmoe,sealed,a89b9f87fdf468997988c508f365d2846cec1d9c4380319479946740ebc8888a,full_shadow,1,0.04397990484494585,0.16208466328680515,0.12892738096415993,64,32,2,1.0,0.0,0,0,32,32
olmoe,sealed,06f5b67f02ea15dd0cf348e92ef81bcb4f6ac3958bc881b9e26432790021827c,always_bf16,,0.0,0.0,0.0,32,0,0,1.0,0.0,0,0,32,0
olmoe,sealed,06f5b67f02ea15dd0cf348e92ef81bcb4f6ac3958bc881b9e26432790021827c,always_low,,0.05348493912970298,0.1860323902219534,0.13467645272612566,32,0,3,0.0,0.09375,32,0,32,32
olmoe,sealed,06f5b67f02ea15dd0cf348e92ef81bcb4f6ac3958bc881b9e26432790021827c,triage_2_4_8,4,0.03583455935950042,0.11801417917013168,0.10263793542981146,40,8,3,0.3333333333333333,0.0625,21,3,32,32
olmoe,sealed,06f5b67f02ea15dd0cf348e92ef81bcb4f6ac3958bc881b9e26432790021827c,hash_budget_matched_2_4_8,4,0.03583455935950042,0.11801417917013168,0.10263793542981146,40,8,3,0.3333333333333333,0.0625,21,3,32,32
olmoe,sealed,06f5b67f02ea15dd0cf348e92ef81bcb4f6ac3958bc881b9e26432790021827c,fixed_2,2,0.029328725605864747,0.09870701842010021,0.0986730545759201,46,14,3,1.0,0.0,11,7,32,32
olmoe,sealed,06f5b67f02ea15dd0cf348e92ef81bcb4f6ac3958bc881b9e26432790021827c,fixed_4,4,0.03583455935950042,0.11801417917013168,0.10263793542981146,40,8,3,0.3333333333333333,0.0625,21,3,32,32
olmoe,sealed,06f5b67f02ea15dd0cf348e92ef81bcb4f6ac3958bc881b9e26432790021827c,fixed_8,8,0.04470687250386618,0.16572650149464607,0.09657268449664115,36,4,3,0.3333333333333333,0.0625,25,3,32,32
olmoe,sealed,06f5b67f02ea15dd0cf348e92ef81bcb4f6ac3958bc881b9e26432790021827c,full_shadow,1,0.03863314872432966,0.10580439306795597,0.0995925586670637,64,32,3,1.0,0.0,0,0,32,32
olmoe,sealed,911bf917b525aa0cdecfce1e71bf5d4c45cc45c01f69c8eeb6e7f9a6f311c65c,always_bf16,,0.0,0.0,0.0,32,0,0,1.0,0.0,0,0,32,0
olmoe,sealed,911bf917b525aa0cdecfce1e71bf5d4c45cc45c01f69c8eeb6e7f9a6f311c65c,always_low,,0.047497578649654315,0.16283777728676796,0.15892947390675544,32,0,2,0.0,0.0625,32,0,32,32
olmoe,sealed,911bf917b525aa0cdecfce1e71bf5d4c45cc45c01f69c8eeb6e7f9a6f311c65c,triage_2_4_8,2,0.03887795751552403,0.13612835109233856,0.1052825383841991,47,15,2,0.5,0.03125,14,3,32,32
olmoe,sealed,911bf917b525aa0cdecfce1e71bf5d4c45cc45c01f69c8eeb6e7f9a6f311c65c,hash_budget_matched_2_4_8,4,0.047497578649654315,0.16283777728676796,0.15892947390675544,40,8,2,0.0,0.0625,24,0,32,32
olmoe,sealed,911bf917b525aa0cdecfce1e71bf5d4c45cc45c01f69c8eeb6e7f9a6f311c65c,fixed_2,2,0.03887795751552403,0.13612835109233856,0.1052825383841991,47,15,2,0.5,0.03125,14,3,32,32
olmoe,sealed,911bf917b525aa0cdecfce1e71bf5d4c45cc45c01f69c8eeb6e7f9a6f311c65c,fixed_4,4,0.047497578649654315,0.16283777728676796,0.15892947390675544,40,8,2,0.0,0.0625,24,0,32,32
olmoe,sealed,911bf917b525aa0cdecfce1e71bf5d4c45cc45c01f69c8eeb6e7f9a6f311c65c,fixed_8,8,0.047497578649654315,0.16283777728676796,0.15892947390675544,36,4,2,0.0,0.0625,28,0,32,32
olmoe,sealed,911bf917b525aa0cdecfce1e71bf5d4c45cc45c01f69c8eeb6e7f9a6f311c65c,full_shadow,1,0.033164861175919214,0.08831287547945976,0.07208094969391822,64,32,2,1.0,0.0,0,0,32,32
olmoe,sealed,3b409d583870b4893d07a69d6f9a18a7bf64319c77bbcc3b3f95bb74f8b9d86e,always_bf16,,0.0,0.0,0.0,32,0,0,1.0,0.0,0,0,32,0
olmoe,sealed,3b409d583870b4893d07a69d6f9a18a7bf64319c77bbcc3b3f95bb74f8b9d86e,always_low,,0.029890913599729174,0.1180576253682375,0.12113627269864082,32,0,0,1.0,0.0,32,0,32,32
olmoe,sealed,3b409d583870b4893d07a69d6f9a18a7bf64319c77bbcc3b3f95bb74f8b9d86e,triage_2_4_8,4,0.029890913599729174,0.1180576253682375,0.12113627269864082,40,8,0,1.0,0.0,24,0,32,32
olmoe,sealed,3b409d583870b4893d07a69d6f9a18a7bf64319c77bbcc3b3f95bb74f8b9d86e,hash_budget_matched_2_4_8,8,0.029890913599729174,0.1180576253682375,0.12113627269864082,36,4,0,1.0,0.0,28,0,32,32
olmoe,sealed,3b409d583870b4893d07a69d6f9a18a7bf64319c77bbcc3b3f95bb74f8b9d86e,fixed_2,2,0.029890913599729174,0.1180576253682375,0.12113627269864082,48,16,0,1.0,0.0,16,0,32,32
olmoe,sealed,3b409d583870b4893d07a69d6f9a18a7bf64319c77bbcc3b3f95bb74f8b9d86e,fixed_4,4,0.029890913599729174,0.1180576253682375,0.12113627269864082,40,8,0,1.0,0.0,24,0,32,32
olmoe,sealed,3b409d583870b4893d07a69d6f9a18a7bf64319c77bbcc3b3f95bb74f8b9d86e,fixed_8,8,0.029890913599729174,0.1180576253682375,0.12113627269864082,36,4,0,1.0,0.0,28,0,32,32
olmoe,sealed,3b409d583870b4893d07a69d6f9a18a7bf64319c77bbcc3b3f95bb74f8b9d86e,full_shadow,1,0.029890913599729174,0.1180576253682375,0.12113627269864082,64,32,0,1.0,0.0,0,0,32,32
olmoe,sealed,b7ab5a648ecb2f6143333a157b90a2e373146ab70c505e123849880cf09c9775,always_bf16,,0.0,0.0,0.0,32,0,0,1.0,0.0,0,0,32,0
