layer,rank,precision,delta_kl,local_relative_mse,bytes_per_element,byte_saving_per_rank
10,6,int8,0.026019531796919182,2.977746109509382e-06,1.0,0.0625
10,6,int4,0.04127518861787394,0.0004604960934206228,0.5,0.09375
10,6,drop,0.2671119205188006,0.012637835925973168,0.0,0.125
10,7,int8,0.02809259365312755,2.2804683007450652e-06,1.0,0.0625
10,7,int4,0.038735485228244215,0.0003001124576931864,0.5,0.09375
10,7,drop,0.20372566941659898,0.008122035707549486,0.0,0.125
10,8,int8,0.024025789083680138,1.7336416183654913e-06,1.0,0.0625
10,8,int4,0.035072708094958216,0.0001903220967147107,0.5,0.09375
10,8,drop,0.1296854951651767,0.005061447934055837,0.0,0.125
11,1,int8,0.08040751260705292,0.0010348035663949354,1.0,0.0625
11,1,int4,0.5129495617002249,0.01660245356552239,0.5,0.09375
11,1,drop,6.886923521757126,0.4876110779095472,0.0,0.125
11,2,int8,0.02217866465798579,2.794844953203703e-05,1.0,0.0625
11,2,int4,0.11964468308724463,0.007626212396731959,0.5,0.09375
11,2,drop,2.215705554932356,0.16338545153041656,0.0,0.125
11,3,int8,0.024264295294415206,2.2735814926059256e-05,1.0,0.0625
11,3,int4,0.09819289401639253,0.006012884618461498,0.5,0.09375
11,3,drop,1.4436439024284482,0.10460972643640822,0.0,0.125
11,4,int8,0.020206265908200294,1.9200107275844033e-05,1.0,0.0625
11,4,int4,0.07593411428388208,0.004883913037843609,0.5,0.09375
11,4,drop,0.8890398778021336,0.07365044041513481,0.0,0.125
11,5,int8,0.023376024182653055,1.096604264284305e-05,1.0,0.0625
11,5,int4,0.05541524407453835,0.002402039032678543,0.5,0.09375
11,5,drop,0.5102800759486854,0.044008660001440825,0.0,0.125
11,6,int8,0.021053929260233417,6.232397560342736e-06,1.0,0.0625
11,6,int4,0.042118440731428564,0.0010800387891260045,0.5,0.09375
11,6,drop,0.3356684430036694,0.02231886835256071,0.0,0.125
11,7,int8,0.024352077627554536,4.449472529609739e-06,1.0,0.0625
11,7,int4,0.03818733216030523,0.0006375578942846176,0.5,0.09375
11,7,drop,0.228126366622746,0.013722636605649033,0.0,0.125
11,8,int8,0.022862413636175916,3.3501599649046195e-06,1.0,0.0625
11,8,int4,0.03592392697464675,0.0004006052905546294,0.5,0.09375
11,8,drop,0.14701137295924127,0.008455074763218025,0.0,0.125
12,1,int8,0.021070833725389093,5.1949232897090136e-05,1.0,0.0625
12,1,int4,0.1744800480082631,0.014999369365375196,0.5,0.09375
12,1,drop,7.291830584406853,0.386782613530606,0.0,0.125
12,2,int8,0.021690806664992124,3.806397921106608e-05,1.0,0.0625
12,2,int4,0.11417881469242275,0.010413443425362332,0.5,0.09375
12,2,drop,2.5273114144802094,0.19235193934404451,0.0,0.125
12,3,int8,0.01808250098838471,3.303202363945626e-05,1.0,0.0625
12,3,int4,0.115735181607306,0.008238289694591273,0.5,0.09375
12,3,drop,1.576029835268855,0.11852001601032035,0.0,0.125
12,4,int8,0.018148446339182556,2.144890666882281e-05,1.0,0.0625
12,4,int4,0.07833491056226194,0.00528694152004281,0.5,0.09375
12,4,drop,0.8852051682770252,0.07875336423874502,0.0,0.125
12,5,int8,0.016294164408463985,1.5150162045413375e-05,1.0,0.0625
12,5,int4,0.051531867240555584,0.0033990748646879412,0.5,0.09375
12,5,drop,0.5533201838843524,0.04896068266339748,0.0,0.125
12,6,int8,0.018053133448120207,1.0121477407757627e-05,1.0,0.0625
12,6,int4,0.04808105167467147,0.0019482444275441756,0.5,0.09375
12,6,drop,0.3467613593675196,0.03025909873423289,0.0,0.125
12,7,int8,0.017550584918353707,6.525213967377624e-06,1.0,0.0625
12,7,int4,0.035629004589281976,0.0010298270593711624,0.5,0.09375
12,7,drop,0.2114790934138,0.018173506113205895,0.0,0.125
12,8,int8,0.01787402795162052,4.960608704715915e-06,1.0,0.0625
12,8,int4,0.030917126510757953,0.0006583360765375127,0.5,0.09375
12,8,drop,0.15243118768557906,0.011415894239793962,0.0,0.125
13,1,int8,0.017901153478305787,4.7617863745684685e-05,1.0,0.0625
13,1,int4,0.17369101708754897,0.013466621166950304,0.5,0.09375
13,1,drop,11.531381338834763,0.43523232339087076,0.0,0.125
13,2,int8,0.015381768898805603,3.1027177591353996e-05,1.0,0.0625
13,2,int4,0.09880861616693437,0.00809820162313641,0.5,0.09375
13,2,drop,3.6108733974397182,0.1902215060692067,0.0,0.125
13,3,int8,0.01572300778934732,2.6128847549279756e-05,1.0,0.0625
13,3,int4,0.06999774626456201,0.00647257741531856,0.5,0.09375
13,3,drop,1.7682884819805622,0.11712024872029582,0.0,0.125
13,4,int8,0.014355289458762854,2.086383624728696e-05,1.0,0.0625
13,4,int4,0.0531921808142215,0.005003127137885355,0.5,0.09375
13,4,drop,0.95487793488428,0.07741457818664745,0.0,0.125
13,5,int8,0.014900253096129745,1.3067416606505592e-05,1.0,0.0625
13,5,int4,0.04874549142550677,0.0027713644335048424,0.5,0.09375
13,5,drop,0.44020693004131317,0.040324205820426555,0.0,0.125
13,6,int8,0.015631945250788704,8.774874513546047e-06,1.0,0.0625
13,6,int4,0.03377320530125871,0.001631873351667552,0.5,0.09375
13,6,drop,0.2732054558582604,0.025183333401526273,0.0,0.125
13,7,int8,0.014133996883174405,5.8447662699568566e-06,1.0,0.0625
13,7,int4,0.027141093276441097,0.0008899673685612214,0.5,0.09375
13,7,drop,0.19333013566210866,0.01588216446294058,0.0,0.125
13,8,int8,0.014428510534344241,4.236327748720714e-06,1.0,0.0625
13,8,int4,0.024770226824330166,0.0005186974381469019,0.5,0.09375
13,8,drop,0.1283246036618948,0.010157797646411667,0.0,0.125
14,1,int8,0.35716912243515253,0.0009061184529398374,1.0,0.0625
14,1,int4,5.4206883162260056,0.018711202562468936,0.5,0.09375
14,1,drop,9.628986969590187,0.40116767808132164,0.0,0.125
14,2,int8,0.04695065779378638,0.0002882588490076204,1.0,0.0625
14,2,int4,1.553917683660984,0.013057188765311766,0.5,0.09375
