model,placement,policy,policy_family,budget_fraction,shadow_count,candidate_count,selection_split,evaluation_split,mean_uncovered_mass,p50_uncovered_mass,p95_uncovered_mass,p99_uncovered_mass,cvar95_uncovered_mass,max_uncovered_mass,fraction_mass_le_0p10,fraction_mass_le_0p20,fraction_fully_covered,request_cvar95_mean,cvar95_reduction_vs_no_shadow
llmjp_e32k16,calibration_coactivation_balanced,frequency,frequency,0.1,51,512,calibration,historical test,0.4010130961129148,0.392822265625,0.649682288616895,0.7459587633609772,0.707980466065312,0.9374447464942932,0.0049381256103515625,0.07457733154296875,7.62939453125e-06,0.7062676735439554,0.08325446124930092
llmjp_e32k16,calibration_coactivation_balanced,gate_mass,gate_mass,0.1,51,512,calibration,historical test,0.398328758902351,0.3904552534222603,0.6376723293215036,0.7412589567899704,0.6997656271327376,0.9375267419964075,0.0048465728759765625,0.06720161437988281,1.9073486328125e-06,0.6980991525388651,0.0938916430699337
llmjp_e32k16,calibration_coactivation_balanced,cvar_greedy,cvar_greedy,0.1,51,512,calibration,historical test,0.41848064662837103,0.4197802245616913,0.6087858773767948,0.6866003241203725,0.6565955743797218,0.9374447464942932,0.001186370849609375,0.03035736083984375,0.0,0.6548354224822726,0.14979142444230376
llmjp_e32k16,calibration_coactivation_balanced,oracle_cvar,oracle_cvar,0.1,51,512,historical oracle,historical test,0.4192851984813659,0.42002443224191666,0.6096250239759684,0.6856314587593079,0.6562254418142391,0.9374447464942932,0.0009613037109375,0.02816009521484375,0.0,0.6542274980848405,0.1502706994991967
llmjp_e32k16,calibration_frequency_lpt,frequency,frequency,0.0,0,512,calibration,historical test,0.4999999991084536,0.5,0.7133089303970337,0.7982193076610565,0.7641577763246066,0.9624488353729248,0.000438690185546875,0.009464263916015625,0.0,0.7635541020859621,0.0
llmjp_e32k16,calibration_frequency_lpt,gate_mass,gate_mass,0.0,0,512,calibration,historical test,0.4999999991084536,0.5,0.7133089303970337,0.7982193076610565,0.7641577763246066,0.9624488353729248,0.000438690185546875,0.009464263916015625,0.0,0.7635541020859621,0.0
llmjp_e32k16,calibration_frequency_lpt,cvar_greedy,cvar_greedy,0.0,0,512,calibration,historical test,0.4999999991084536,0.5,0.7133089303970337,0.7982193076610565,0.7641577763246066,0.9624488353729248,0.000438690185546875,0.009464263916015625,0.0,0.7635541020859621,0.0
llmjp_e32k16,calibration_frequency_lpt,oracle_cvar,oracle_cvar,0.0,0,512,historical oracle,historical test,0.4999999991084536,0.5,0.7133089303970337,0.7982193076610565,0.7641577763246066,0.9624488353729248,0.000438690185546875,0.009464263916015625,0.0,0.7635541020859621,0.0
llmjp_e32k16,calibration_frequency_lpt,frequency,frequency,0.02,10,512,calibration,historical test,0.47444605975613463,0.47303231805562973,0.70530287027359,0.7889287102222443,0.7559289739261684,0.9624488353729248,0.0005741119384765625,0.018751144409179688,0.0,0.7553028354357153,0.010768459935088903
llmjp_e32k16,calibration_frequency_lpt,gate_mass,gate_mass,0.02,10,512,calibration,historical test,0.4718023471762436,0.4671996161341667,0.7052361756563187,0.7943380194902421,0.7585565282628025,0.9624488353729248,0.000530242919921875,0.017351150512695312,0.0,0.7579178182082749,0.0073299627843147475
llmjp_e32k16,calibration_frequency_lpt,cvar_greedy,cvar_greedy,0.02,10,512,calibration,historical test,0.4821157773400149,0.48383158445358276,0.6867219805717468,0.7605107758939267,0.7320041260920419,0.9418213963508606,0.000499725341796875,0.0127410888671875,0.0,0.730997660808749,0.04207724010506719
llmjp_e32k16,calibration_frequency_lpt,oracle_cvar,oracle_cvar,0.02,10,512,historical oracle,historical test,0.4820014773911927,0.48392312973737717,0.6853480106219649,0.7606450212001801,0.7315692240591142,0.9418213963508606,0.000469207763671875,0.012285232543945312,0.0,0.7304956311059219,0.04264636607146044
llmjp_e32k16,calibration_frequency_lpt,frequency,frequency,0.05,26,512,calibration,historical test,0.44269257955819175,0.43711844086647034,0.6862649321556091,0.7767466247081757,0.7412467791072983,0.9624488353729248,0.0010623931884765625,0.03407096862792969,0.0,0.7403991535676874,0.029982024559776166
llmjp_e32k16,calibration_frequency_lpt,gate_mass,gate_mass,0.05,26,512,calibration,historical test,0.4404885275155088,0.4356846511363983,0.6766825705766678,0.763854269385338,0.7300847248666112,0.9624488353729248,0.0013561248779296875,0.0341796875,0.0,0.7288426882137113,0.04458902665608866
llmjp_e32k16,calibration_frequency_lpt,cvar_greedy,cvar_greedy,0.05,26,512,calibration,historical test,0.45401342246145626,0.45654296875,0.6521783232688902,0.7275390857458115,0.6985128964989171,0.9418213963508606,0.00075531005859375,0.018980026245117188,0.0,0.6969966287077791,0.08590487705487171
llmjp_e32k16,calibration_frequency_lpt,oracle_cvar,oracle_cvar,0.05,26,512,historical oracle,historical test,0.45542593705580847,0.4583841860294342,0.653261990938335,0.7269550487771632,0.6989421838765881,0.9418213963508606,0.0009098052978515625,0.01973724365234375,0.0,0.6974361256876099,0.08534309859632383
llmjp_e32k16,calibration_frequency_lpt,frequency,frequency,0.1,51,512,calibration,historical test,0.4010130960227678,0.392333984375,0.6571497917175293,0.7502308395504952,0.7140751699937887,0.9624488353729248,0.0056400299072265625,0.08285140991210938,3.814697265625e-06,0.7128023583353813,0.06553961483150994
llmjp_e32k16,calibration_frequency_lpt,gate_mass,gate_mass,0.1,51,512,calibration,historical test,0.3983287588897757,0.3880341909825802,0.6422644704580307,0.7398046255111694,0.7019755248407865,0.9624488353729248,0.003383636474609375,0.06305503845214844,0.0,0.7001647862053826,0.08137357678004664
llmjp_e32k16,calibration_frequency_lpt,cvar_greedy,cvar_greedy,0.1,51,512,calibration,historical test,0.4147685277539215,0.4149053115397692,0.6076490256935358,0.6867146193981171,0.6566522065168359,0.9418213963508606,0.001209259033203125,0.03308677673339844,0.0,0.6537499096746969,0.14068504324439857
llmjp_e32k16,calibration_frequency_lpt,oracle_cvar,oracle_cvar,0.1,51,512,historical oracle,historical test,0.417431542002769,0.41896509751677513,0.6076427631080149,0.6845768686756492,0.6552842621463446,0.9418213963508606,0.0013942718505859375,0.03256416320800781,0.0,0.6529416363954114,0.14247517666039378
llmjp_e32k16,contiguous,frequency,frequency,0.0,0,512,calibration,historical test,0.4999999990952375,0.5,0.719061306118965,0.7884865248203278,0.7615869515250936,0.9589166045188904,0.0002231597900390625,0.0073089599609375,0.0,0.7610695235806519,0.0
