mode,layer,pairs,revisits,revisit_rate,same_rank_revisit_rate,payload_bytes,payload_bytes_per_pair,residual_to_raw_energy,direct_hit_rel_mse,temporal_hit_rel_mse,combine_relative_mse
revisit_abs_mxfp4,6,152,70,0.4605263157894737,0.07236842105263158,244443,1608.1776315789473,1.4284539473399929,0.014067666295742217,0.018987923712323607,0.006149322132259006
revisit_abs_mxfp4,7,152,69,0.45394736842105265,0.05263157894736842,245407,1614.5197368421052,1.3209318712400167,0.014343726717141106,0.018223739743206402,0.00617800168955855
revisit_abs_mxfp4,8,152,62,0.40789473684210525,0.05921052631578947,252155,1658.9144736842106,1.290289777429392,0.014240740054440567,0.018028926118361044,0.0016683583621423881
revisit_abs_mxfp4,9,152,53,0.34868421052631576,0.05263157894736842,260831,1715.9934210526317,1.4015205878823027,0.014326311207085383,0.01927686860304745,0.0009448976887394563
revisit_abs_mxfp4,10,152,41,0.26973684210526316,0.05921052631578947,272399,1792.0986842105262,1.200158381991661,0.013782463118407117,0.016621442604111896,0.0018607930163075876
revisit_abs_mxfp4,11,152,60,0.39473684210526316,0.05921052631578947,254083,1671.5986842105262,1.0809183345431332,0.013807719170973164,0.015245154001521976,0.003840698052902525
revisit_abs_mxfp4,12,152,60,0.39473684210526316,0.11842105263157894,254083,1671.5986842105262,1.0607775008804639,0.014070491708020879,0.014831416968672679,0.008390490415081336
revisit_abs_mxfp4,13,152,58,0.3815789473684211,0.07894736842105263,256011,1684.282894736842,0.958421383358997,0.01391780693254917,0.013366529908181043,0.007110060521051899
revisit_abs_mxfp4,14,152,64,0.42105263157894735,0.09210526315789473,250227,1646.2302631578948,1.0588007481424615,0.015374939055686326,0.015209368603896562,0.0044267372161810445
revisit_abs_mxfp4,15,152,60,0.39473684210526316,0.125,254083,1671.5986842105262,0.8493887439408592,0.019212176247976182,0.014365483261255979,0.003859778793232203
temporal_delta_mxfp4,0,152,55,0.3618421052631579,0.046052631578947366,258903,1703.3092105263158,1.55362897780492,0.01932750337120663,0.030492969055774335,0.007812307649289663
temporal_delta_mxfp4,1,152,47,0.3092105263157895,0.05263157894736842,266615,1754.046052631579,1.794641358676627,0.013782038436511096,0.024679055144017883,0.00017706931594717768
temporal_delta_mxfp4,2,152,58,0.3815789473684211,0.06578947368421052,256011,1684.282894736842,1.533760895533574,0.013803146400641586,0.021121153301467507,3.1885351516339484e-05
