block,tokens,bf16_us,per_expert_us,quantize_once_us
6,8,1146.5280055999756,3046.623945236206,2254.879951477051
6,64,1380.8000087738037,3278.2719135284424,2501.728057861328
6,256,1265.8560276031494,3337.9199504852295,2498.2080459594727
6,16,1221.0559844970703,3228.5120487213135,2411.5519523620605
6,128,1357.5999736785889,3336.384057998657,2449.471950531006
6,32,1206.015944480896,3201.375961303711,2389.9519443511963
7,16,1204.7679424285889,3214.0800952911377,2357.919931411743
7,256,1260.032057762146,3300.7359504699707,2459.808111190796
7,32,1192.8000450134277,3239.0079498291016,2389.280080795288
7,64,1351.7119884490967,3290.911912918091,2456.2880992889404
7,128,1353.2480001449585,3283.8399410247803,2418.272018432617
7,8,1141.2160396575928,2998.33607673645,2295.4559326171875
8,128,1372.0320463180542,3313.3440017700195,2411.007881164551
8,32,1211.2319469451904,3197.4399089813232,2362.560033798218
8,64,1361.631989479065,3287.519931793213,2419.9678897857666
8,16,1202.8800249099731,3206.655979156494,2371.74391746521
8,8,1152.4159908294678,3007.9360008239746,2262.847900390625
8,256,1243.872046470642,3343.4879779815674,2450.3679275512695
9,64,1358.6879968643188,3258.080005645752,2485.3758811950684
9,8,1155.3280353546143,3009.2480182647705,2249.216079711914
9,32,1177.3760318756104,3178.4000396728516,2411.9040966033936
9,16,1206.4640522003174,3179.424047470093,2376.6400814056396
9,128,1362.6879453659058,3318.5598850250244,2398.848056793213
9,256,1254.080057144165,3313.632011413574,2435.551881790161
10,128,1360.319972038269,3309.727907180786,2401.855945587158
10,32,1185.1199865341187,3187.4239444732666,2397.631883621216
10,256,1272.4800109863281,3294.4319248199463,2458.911895751953
10,16,1205.0880193710327,3183.552026748657,2386.1119747161865
10,64,1353.119969367981,3282.5279235839844,2444.4799423217773
10,8,1160.7359647750854,3048.0000972747803,2249.824047088623
11,8,1141.2479877471924,3034.463882446289,2279.9038887023926
11,64,1368.8960075378418,3279.9038887023926,2487.2000217437744
11,16,1220.4159498214722,3229.7921180725098,2388.319969177246
11,32,1207.584023475647,3188.2240772247314,2356.6720485687256
11,256,1262.112021446228,3357.1200370788574,2487.2961044311523
11,128,1361.4720106124878,3383.359909057617,2426.784038543701
12,8,1160.7040166854858,3008.8000297546387,2304.960012435913
12,16,1192.3199892044067,3183.0079555511475,2390.239953994751
12,128,1359.231948852539,3322.2720623016357,2417.7279472351074
12,256,1235.6480360031128,3329.632043838501,2464.672088623047
12,64,1352.4800539016724,3281.5680503845215,2463.200092315674
12,32,1210.5599641799927,3189.9518966674805,2367.4240112304688
13,8,1149.3760347366333,3022.655963897705,2243.8719272613525
13,16,1208.351969718933,3195.0719356536865,2489.6960258483887
13,256,1261.3439559936523,3340.9600257873535,2438.431978225708
13,64,1361.3439798355103,3250.1120567321777,2469.3760871887207
13,32,1214.0480279922485,3203.903913497925,2361.8879318237305
13,128,1355.5519580841064,3286.207914352417,2449.0880966186523
14,32,1225.376009941101,3191.456079483032,2372.2879886627197
