strategy,sample_idx,kl_free,kl_locked,drift_contribution,drift_fraction,numerical_fraction
rank8_int4,8,0.7883296012878418,0.30278509855270386,0.48554450273513794,0.6159156042624,0.3840843957376
uniform_fp8,9,0.22288936376571655,0.10630600154399872,0.11658336222171783,0.5230548477147655,0.4769451522852345
rank8_fp8,9,0.14023171365261078,0.032723017036914825,0.10750869661569595,0.766650380398417,0.23334961960158296
rank1_fp8,9,0.14615313708782196,0.07040329277515411,0.07574984431266785,0.5182909229457765,0.4817090770542235
rank8_int4,9,0.4057217240333557,0.2763785719871521,0.1293431520462036,0.3187976989754926,0.6812023010245074
uniform_fp8,10,0.37410858273506165,0.1696484088897705,0.20446017384529114,0.5465262848302171,0.45347371516978285
rank8_fp8,10,0.150701642036438,0.033435605466365814,0.11726603657007217,0.7781337680562136,0.2218662319437864
rank1_fp8,10,0.31952744722366333,0.1051909402012825,0.21433650702238083,0.6707921616271958,0.3292078383728042
rank8_int4,10,0.8459891676902771,0.2800981104373932,0.5658910572528839,0.6689105237575108,0.3310894762424892
uniform_fp8,11,0.3738076686859131,0.10205761343240738,0.2717500552535057,0.7269782779171394,0.2730217220828606
rank8_fp8,11,0.16202831268310547,0.029271289706230164,0.1327570229768753,0.8193445995856362,0.1806554004143638
rank1_fp8,11,0.24697169661521912,0.06772935390472412,0.179242342710495,0.7257606647524223,0.2742393352475777
rank8_int4,11,0.46631985902786255,0.303234726190567,0.16308513283729553,0.34972804541775093,0.6502719545822491
uniform_fp8,12,0.19740360975265503,0.079967200756073,0.11743640899658203,0.5949050736393767,0.4050949263606233
rank8_fp8,12,0.11840914934873581,0.019471794366836548,0.09893735498189926,0.8355549847800301,0.1644450152199699
rank1_fp8,12,0.2434130311012268,0.055692486464977264,0.18772054463624954,0.7712017051305,0.22879829486949999
rank8_int4,12,0.24639026820659637,0.10046662390232086,0.1459236443042755,0.592245973700226,0.407754026299774
uniform_fp8,13,0.16188223659992218,0.08889324218034744,0.07298899441957474,0.45087710642373113,0.5491228935762689
rank8_fp8,13,0.05452301353216171,0.023681512102484703,0.03084150142967701,0.5656602493456163,0.4343397506543837
rank1_fp8,13,0.1211099848151207,0.07827529311180115,0.04283469170331955,0.35368422982389475,0.6463157701761053
rank8_int4,13,0.20008334517478943,0.1094016507267952,0.09068169444799423,0.4532196039044441,0.546780396095556
uniform_fp8,14,0.07102688401937485,0.04060822352766991,0.03041866049170494,0.42826967438705715,0.5717303256129429
rank8_fp8,14,0.016578534618020058,0.009665916673839092,0.006912617944180965,0.4169619392456609,0.5830380607543391
rank1_fp8,14,0.04021647572517395,0.023998774588108063,0.016217701137065887,0.40326012771214154,0.5967398722878585
rank8_int4,14,0.08045285940170288,0.07156185805797577,0.008891001343727112,0.1105119371747143,0.8894880628252857
uniform_fp8,15,0.17051582038402557,0.054913535714149475,0.1156022846698761,0.6779563585919683,0.32204364140803166
rank8_fp8,15,0.06686627119779587,0.013767251744866371,0.0530990194529295,0.7941076794286656,0.20589232057133444
rank1_fp8,15,0.1583402454853058,0.037931397557258606,0.12040884792804718,0.7604437365813059,0.23955626341869407
rank8_int4,15,0.15295985341072083,0.08700975775718689,0.06595009565353394,0.43115951135522956,0.5688404886447704
uniform_fp8,16,0.24294179677963257,0.14119307696819305,0.10174871981143951,0.4188193269342354,0.5811806730657646
rank8_fp8,16,0.09408887475728989,0.0236629880964756,0.07042588666081429,0.748503867672812,0.25149613232718804
rank1_fp8,16,0.1849033236503601,0.0866490975022316,0.09825422614812851,0.5313816117979616,0.4686183882020384
