policy,cache_scope,capacity,prefetch_budget,total_latency_ms,total_compute_ms,total_demand_ms,total_exposed_prefetch_ms,miss_rate,total_needed_objects,total_misses,total_prefetches,useful_prefetches,wasted_prefetches,prefetch_precision,model,rank_mode,rank_limit,safe_overlap_budget,reactive_latency_ms,latency_saving_vs_reactive_pct
transition_prefetch,global,16,8,43219.837117895484,1497.9399185180664,36789.04085658491,4932.856342792511,0.856370946067013,178592,152941,26880,25651,1229,0.9542782738095238,olmoe,full_topk,8,1,44457.175078868866,2.7832131906228685
random_prefetch,global,16,8,44395.85676434636,1497.9399185180664,37965.060503035784,4932.856342792511,0.8837461924386311,178592,157830,26880,20762,6118,0.7723958333333333,olmoe,full_topk,8,1,44457.175078868866,0.13792670005172702
oracle_prefetch,global,16,8,42924.20853424072,1497.9399185180664,36493.412272930145,4932.856342792511,0.849489338828167,178592,151712,26880,26880,0,1.0,olmoe,full_topk,8,1,44457.175078868866,3.4481870292221606
reactive_lru,global,32,0,44457.175078868866,1497.9399185180664,42959.2351603508,0.0,1.0,178592,178592,0,0,0,0.0,olmoe,full_topk,8,1,44457.175078868866,0.0
static_frequency_pin,global,32,0,42928.27737528086,1497.9399185180664,41430.33745676279,0.0,0.9644104999104103,178592,172236,0,0,0,0.0,olmoe,full_topk,8,1,44457.175078868866,3.4390347584516534
frequency_prefetch,global,32,1,43781.67525391281,1497.9399185180664,42222.44886927307,61.286466121673584,0.9828491757749507,178592,175529,3360,3063,297,0.9116071428571428,olmoe,full_topk,8,1,44457.175078868866,1.5194393790376792
transition_prefetch,global,32,1,43744.631476953626,1497.9399185180664,42185.405092313886,61.286466121673584,0.9819868751119871,178592,175375,3360,3217,143,0.9574404761904762,olmoe,full_topk,8,1,44457.175078868866,1.6027640097490692
random_prefetch,global,32,1,43898.57964093983,1497.9399185180664,42339.35325630009,61.286466121673584,0.985570462282745,178592,176015,3360,2577,783,0.7669642857142858,olmoe,full_topk,8,1,44457.175078868866,1.256479830169288
oracle_prefetch,global,32,1,43710.23368406296,1497.9399185180664,42151.00729942322,61.286466121673584,0.9811861673535208,178592,175232,3360,3360,0,1.0,olmoe,full_topk,8,1,44457.175078868866,1.680136881123917
frequency_prefetch,global,32,8,43475.53539651632,1497.9399185180664,37044.739135205746,4932.856342792511,0.8623230603834439,178592,154004,26880,24588,2292,0.9147321428571429,olmoe,full_topk,8,1,44457.175078868866,2.208056811102088
transition_prefetch,global,32,8,43219.837117895484,1497.9399185180664,36789.04085658491,4932.856342792511,0.856370946067013,178592,152941,26880,25651,1229,0.9542782738095238,olmoe,full_topk,8,1,44457.175078868866,2.7832131906228685
random_prefetch,global,32,8,44373.726715773344,1497.9399185180664,37942.93045446277,4932.856342792511,0.8832310517828346,178592,157738,26880,20854,6026,0.7758184523809524,olmoe,full_topk,8,1,44457.175078868866,0.18770505086632694
oracle_prefetch,global,32,8,42924.20853424072,1497.9399185180664,36493.412272930145,4932.856342792511,0.849489338828167,178592,151712,26880,26880,0,1.0,olmoe,full_topk,8,1,44457.175078868866,3.4481870292221606
reactive_lru,per_layer,8,0,37984.616959273815,1497.9399185180664,36486.67704075575,0.0,0.8493325568894463,178592,151684,0,0,0,0.0,olmoe,full_topk,8,1,37984.616959273815,0.0
static_frequency_pin,per_layer,8,0,38122.448674842715,1497.9399185180664,36624.50875632465,0.0,0.8525409872782655,178592,152257,0,0,0,0.0,olmoe,full_topk,8,1,37984.616959273815,-0.3628619335998007
frequency_prefetch,per_layer,8,1,38127.68838751316,1497.9399185180664,36568.46200287342,61.286466121673584,0.8512363375739115,178592,152024,3360,2890,470,0.8601190476190477,olmoe,full_topk,8,1,37984.616959273815,-0.37665623531952797
transition_prefetch,per_layer,8,1,38076.21197018027,1497.9399185180664,36516.98558554053,61.286466121673584,0.8500380756136893,178592,151810,3360,3104,256,0.9238095238095239,olmoe,full_topk,8,1,37984.616959273815,-0.2411371187569511
random_prefetch,per_layer,8,1,38218.614021867514,1497.9399185180664,36659.387637227774,61.286466121673584,0.8533528937466404,178592,152402,3360,2512,848,0.7476190476190476,olmoe,full_topk,8,1,37984.616959273815,-0.616031123453431
oracle_prefetch,per_layer,8,1,38014.63270458579,1497.9399185180664,36455.40631994605,61.286466121673584,0.8486046407453861,178592,151554,3360,3360,0,1.0,olmoe,full_topk,8,1,37984.616959273815,-0.07902079240171833
frequency_prefetch,per_layer,8,8,43195.30162926018,1497.9399185180664,36764.505367949605,4932.856342792511,0.8557998118616735,178592,152839,26880,24047,2833,0.8946056547619048,olmoe,full_topk,8,1,37984.616959273815,-13.71788130856535
