arm,phase,batch_size,prompt_len,repeat,seed,decode_step,latency_ms,tokens_processed,goodput_tokens_per_s,expert_loop,gate,moe_total,routing_setup,unattributed_tail_ms,moe_total_fraction,gate_fraction,routing_setup_fraction,expert_loop_fraction,unattributed_tail_ms_fraction
breakdown,decode,4,128,0,20300728,4,78.2294692993,4,51.1316264296,65.9837117195,0.389727996662,69.7437767982,2.75011199713,0.620225084946,0.89152818526,0.00498185658362,0.0351544248192,0.84346362452,0.00792827933643
breakdown,decode,4,128,0,20300728,5,82.1968994141,4,48.6636360801,69.769600153,0.394655998796,73.512992382,2.72259201109,0.62614421919,0.89435237711,0.00480134897556,0.0331228067056,0.848810607825,0.00761761360408
breakdown,decode,4,128,0,20300728,6,79.5886077881,4,50.2584491822,67.2386243343,0.390816001222,70.9844474792,2.7311039865,0.623903157189,0.891892061591,0.00491045153425,0.0343152627292,0.844827246047,0.00783910128006
breakdown,decode,4,128,0,20300728,7,77.9018554688,4,51.3466588945,65.6522240639,0.404864000157,69.4411830902,2.76271998882,0.621375037357,0.89139318534,0.00519710342867,0.0354641102218,0.842755588668,0.00797638302218
breakdown,decode,4,128,0,20300728,8,79.2430114746,4,50.4776374038,67.0201911926,0.393919996917,70.7786231041,2.74819199741,0.616319917142,0.893184418247,0.00497103769262,0.0346805597903,0.845755227439,0.00777759332556
breakdown,decode,4,128,0,20300728,9,84.1002578735,4,47.5622798448,68.9742407799,0.436256002635,73.9323849678,3.85731196404,0.664576221257,0.879098195858,0.00518733252032,0.0458656377705,0.820143035514,0.00790219005341
breakdown,decode,4,128,0,20300728,10,78.603805542,4,50.8881214137,66.3023355007,0.397536000237,70.1062710285,2.7704000026,0.635999524966,0.89189410799,0.00505746506159,0.0352451129242,0.843500324743,0.00809120526138
breakdown,decode,4,128,0,20300728,11,78.4516830444,4,50.9867965195,66.1285758018,0.397856004536,69.9042556286,2.75459200144,0.623231820762,0.891048514396,0.00507135078684,0.0351119554679,0.842921059634,0.00794414850742
breakdown,decode,4,128,0,20300728,12,78.3829421997,4,51.0315112925,66.1536004543,0.39068800211,69.8840007782,2.72223998606,0.617472335696,0.891571543719,0.00498434979787,0.0347300051474,0.843979552155,0.00787763661796
breakdown,decode,4,128,0,20300728,13,80.5034866333,4,49.6872889273,68.1570551395,0.393247999251,71.9387848377,2.76147200167,0.627009697258,0.893610796827,0.00488485673971,0.0343025143029,0.846634822787,0.00778860299697
breakdown,decode,4,128,0,20300728,14,76.0620193481,4,52.5886642805,63.8805761337,0.391136001796,67.5961596966,2.71007999778,0.614367563277,0.888697937234,0.00514232997162,0.0356298717941,0.839848543086,0.00807719238251
breakdown,decode,4,128,0,20300728,15,78.357635498,4,51.0479926375,66.078111887,0.400767996907,69.871999979,2.75875203311,0.634368062019,0.891706335125,0.00511460043887,0.0352071883688,0.843288742277,0.00809580403986
breakdown,prefill,4,128,1,20300829,-1,90.8715820312,512,5634.32470917,77.6026554108,0.408447999507,81.5936627388,2.92892797291,0.653631355613,0.897900761877,0.00449478253132,0.032231506346,0.853981560309,0.00719291269067
breakdown,decode,4,128,1,20300829,0,73.5920028687,4,54.3537319828,61.4801921844,0.384224001318,65.2130236626,2.71923199296,0.629375483841,0.886142802486,0.00522100209725,0.0369501017361,0.835419472061,0.00855222659131
breakdown,decode,4,128,1,20300829,1,74.3328018188,4,53.8120439715,62.2687356472,0.388095995411,65.9751679897,2.70831999183,0.610016355291,0.887564660222,0.00522105969256,0.0364350586223,0.837701985174,0.00820655673356
breakdown,decode,4,128,1,20300829,2,78.0466537476,4,51.2513965421,65.8617289066,0.398303998634,69.6069121361,2.72329601645,0.623583214357,0.891862863989,0.00510340904458,0.0348931810102,0.843876396285,0.00798987764901
