model,origin_mode,scenario_seed,saving_uniform_full,low_frac_uniform_full,saving_controller,low_frac_controller,saving_causal_no_hysteresis,low_frac_causal_no_hysteresis,saving_calib_static,low_frac_calib_static,saving_uniform_low,low_frac_uniform_low
olmoe,balanced,11,0.0,0.0,0.16515303875052456,0.905228770540517,0.1595846216793304,0.8989639365113014,-0.21124469639931287,0.4221665348086292,0.2037880246767978,1.0
olmoe,hotspot,12,0.0,0.0,0.386690856203885,0.8356724841409298,0.3753311396679331,0.8133134288352146,0.3807486756975498,0.6931269916907407,0.3946854123088872,1.0
olmoe,balanced,13,0.0,0.0,0.15042889413406135,0.8837030055822862,0.1556200025054294,0.8804482617836606,-0.1415754484012981,0.4180800445667146,0.20141758264754184,1.0
olmoe,hotspot,14,0.0,0.0,0.3852014417091125,0.8003899484952421,0.3841461562778141,0.7813057639496749,0.38597091607850087,0.6961782793428729,0.3913144945357697,1.0
olmoe,balanced,15,0.0,0.0,0.16828723122447087,0.9179715056896605,0.1811584086509741,0.9048055393675428,-0.1238626432030665,0.42213139895101676,0.22137196602024356,1.0
olmoe,hotspot,16,0.0,0.0,0.37265483170058733,0.7661230215304878,0.37265483170058733,0.7665396420121623,0.3833229540670833,0.7021775109028433,0.38847711784000827,1.0
olmoe,balanced,17,0.0,0.0,0.15844136402233888,0.8723107729888468,0.13218701305875957,0.8548554450744885,-0.23185822510533138,0.41535563459822883,0.17976344986688664,1.0
olmoe,hotspot,18,0.0,0.0,0.38602718838739813,0.8287416147512044,0.38602718838739813,0.7905538535129779,0.37963206904619684,0.6947940275389224,0.38754367372682597,1.0
olmoe,balanced,19,0.0,0.0,0.16765393267866846,0.9124313805111075,0.16473361558513544,0.8991959117533261,-0.1550409738640237,0.4223091391773706,0.20225707158796413,1.0
olmoe,hotspot,20,0.0,0.0,0.3795937648942104,0.794876964217109,0.37760938533107347,0.7820960017649901,0.38155676227079094,0.6922222518077834,0.3870156781256092,1.0
olmoe,balanced,21,0.0,0.0,0.17530116437452037,0.8781565680658543,0.13999491080348792,0.8598229993932062,-0.24165402369803513,0.41754282857502684,0.19545111729060072,1.0
olmoe,hotspot,22,0.0,0.0,0.38127038934105406,0.8176541735446032,0.38218234795906303,0.7931712549159814,0.3833495395650124,0.6992484348732304,0.3872141510855913,1.0
